,id,Zone_Name,Region_Name,District_Name,Ward_Name,Establishment_Name,Postal_Address,Street,Year_Started,ISICLev4,ISICLev4_Description,CPC_Code,CPC_Description,Tel_No,Mobile_No,Ownership_Description,Size_Class_Description,Employment,Subsector,Manufacturing_Classification
411,412,Central zone,Dodoma,Dodoma Mjini,Mnadani,DON BOSCO TECHNICAL INSTITUTE,,MIJUZI,2010.0,2511,Manufacture of structural metal products,38702,"Prefabricated buildings, of metal",756536533,756536533,Private,Small,20,Manufacturing,Metal and Metal Products
412,413,Central zone,Dodoma,Mpwapwa ,Kibakwe,DONARD CHAMBASI NYAMNYAMBUGI,,KIKULUNGE,2006.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
413,414,Central zone,Dodoma,Dodoma Mjini,Uhuru,DOOR ALUMINIUM,,UMOJA,2012.0,2599,Manufacture of other fabricated metal products n.e.c.,88739,Other fabricated metal product manufacturing services n.e.c.,,,Private,Small,5,Manufacturing,Metal and Metal Products
414,415,Central zone,Dodoma,Dodoma Mjini,Viwandani,DOOR WELDING & FABRICATION,,BARUTI/AIRPORT,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
415,416,Central zone,Dodoma,Dodoma Mjini,Chang'ombe,DOOREN FLOOR MILL,1770,MAZENGO,2005.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),785336776,,Private,Micro,2,Manufacturing,Agro-Processing
416,417,Central zone,Dodoma,Dodoma Mjini,Madukani,DORO TAILOR,1817,BARABARA YA 10,2014.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",717643847,,Private,Micro,2,Manufacturing,Textile and Apparel
417,418,Central zone,Dodoma,Kongwa ,Sejeli,DOSA SOSPETER SEMUNDI,,KATI A,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",765109321,,Private,Micro,2,Manufacturing,Textile and Apparel
418,419,Central zone,Dodoma,Dodoma Mjini,Dodoma Makulu,DR NKYA,,KISASA MAGEREZA,2014.0,2395,"Manufacture of articles of concrete, cement and plaster",37117,"Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",713410248,,Private,Micro,2,Manufacturing,Building and Construction Materials
419,420,Central zone,Dodoma,Mpwapwa ,Godegode,DRYAN OBADIA SAGATWA,12,CHAMUNO KATI,2013.0,1079,Manufacture of other food products n.e.c.,21175,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",,,Private,Micro,2,Manufacturing,Agro-Processing
420,421,Central zone,Dodoma,Dodoma Mjini,Uhuru,DUBAI ALMINIUM & GLASS WORKS,,KINYONGA,2013.0,2599,Manufacture of other fabricated metal products n.e.c.,88739,Other fabricated metal product manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Metal and Metal Products
421,422,Central zone,Dodoma,Dodoma Mjini,Uhuru,DUBAI ONE,2416,BARABARA YA 6,2014.0,3212,Manufacture of imitation jewellery and related articles,38997,Imitation jewellery,,,Private,Micro,2,Manufacturing,Minerals and Mineral Products
422,423,Central zone,Dodoma,Kongwa ,Mkoka,DURU HAMIS OMARY,147,MLOWA,2014.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),753098744,,Private,Micro,2,Manufacturing,Agro-Processing
423,424,Central zone,Dodoma,Dodoma Mjini,Viwandani,EASTER MAGAWA,,SABA SABA,2000.0,1399,Manufacture of other textiles n.e.c.,88219,Other textile manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Textile and Apparel
424,425,Central zone,Dodoma,Dodoma Mjini,Viwandani,EASTHER,,SABASABA,2010.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",752445578,,Private,Micro,2,Manufacturing,Textile and Apparel
425,426,Central zone,Dodoma,Chemba ,Mrijo,EBEN SUNFLOWER OIL MILL,830,POLISI,2004.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,,,Private,Small,10,Manufacturing,Agro-Processing
426,427,Central zone,Dodoma,Chemba ,Mrijo,EBEN SUPERSEMBE MILLS,830,CHANG'OMBE,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
427,428,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,EDA BEZARELI LISINDE,226,STAND,2012.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",786228707,,Private,Micro,2,Manufacturing,Textile and Apparel
428,429,Central zone,Dodoma,Dodoma Mjini,Dodoma Makulu,EDINA JOHN KANYOPO,23,MHANDE,2008.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",,,Private,Micro,2,Manufacturing,Textile and Apparel
429,430,Central zone,Dodoma,Chamwino ,Makang'wa,EDSON KATO,,TUPA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754052019,,Private,Micro,2,Manufacturing,Agro-Processing
430,431,Central zone,Dodoma,Dodoma Mjini,Nala,EDSON KATO MILLING MACHINE,,NALA,2009.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
431,432,Central zone,Dodoma,Bahi ,Ibihwa,EDSON KATO MILLS,,JUHUDI,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
432,433,Central zone,Dodoma,Dodoma Mjini,Mpunguzi,EDSON KAYOGOMA,,NYERERE,2006.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784663700,,Private,Micro,2,Manufacturing,Agro-Processing
433,434,Central zone,Dodoma,Dodoma Mjini,Majengo,EDSON ONESMO MBAYE,,SOKONI MAJENGO,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",755273951,,Private,Micro,2,Manufacturing,Textile and Apparel
434,435,Central zone,Dodoma,Mpwapwa ,Pwaga,EDSON SADATARI,206,IKULU,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,787339623,,Private,Micro,2,Manufacturing,Agro-Processing
435,436,Central zone,Dodoma,Bahi ,Ibihwa,EDWARD,479,JUHUDI,2013.0,1610,Sawmilling and planing of wood,3110,Logs of coniferous wood,,,Private,Micro,2,Manufacturing,Wood and Woods Products
436,437,Central zone,Dodoma,Dodoma Mjini,Mbabala,EDWARD DAMIAN (SEJESEJE),1520,NGUJI,2014.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),783662937,,Private,Micro,2,Manufacturing,Agro-Processing
437,438,Central zone,Dodoma,Mpwapwa ,Pwaga,EDWARD HABELI MAKUYA,12,MADIZINI,2012.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",,,Private,Micro,2,Manufacturing,Wood and Woods Products
438,439,Central zone,Dodoma,Mpwapwa ,Luhundwa,EDWARD MALAMBO,12,ILOLO,2004.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784356664,,Private,Micro,2,Manufacturing,Agro-Processing
439,440,Central zone,Dodoma,Dodoma Mjini,Nzuguni,EDWARD MICHAEL,,NZUNGUNI,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
440,441,Central zone,Dodoma,Chamwino ,Buigiri,EDWARD MPOLO,,SOKOINE,2011.0,1079,Manufacture of other food products n.e.c.,21175,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",,,Private,Micro,2,Manufacturing,Agro-Processing
441,442,Central zone,Dodoma,Kongwa ,Hogoro,EDWARD NISILU,43,UBENANE,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),783120367,,Private,Micro,2,Manufacturing,Agro-Processing
442,443,Central zone,Dodoma,Dodoma Mjini,Miyuji,EDWARD SWAI,4219,MATHIAS,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),758217221,,Private,Micro,2,Manufacturing,Agro-Processing
443,444,Central zone,Dodoma,Bahi ,Msisi,EDWARD WAMI MATENGO MILLS,,MABATINI,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
444,445,Central zone,Dodoma,Dodoma Mjini,,Egal Rice & Flour Mills,,Ngambo,1982.0,1030,Processing and preserving of fruit and vegetables,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
445,446,Central zone,Dodoma,Mpwapwa ,Ipera,EGID BONIPHACE MWONGI,208,AIRPORT,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
446,447,Central zone,Dodoma,Mpwapwa ,Kingiti,ELENEI MUNEGO,48,SHOLE,2006.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),655619324,,Private,Micro,2,Manufacturing,Agro-Processing
447,448,Central zone,Dodoma,Bahi ,Kigwe,ELI SHAYO,,NYERERE,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
448,449,Central zone,Dodoma,Mpwapwa ,Chitemo,ELIAH NYAMAGO,12,NYINILA,2014.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784647286,,Private,Micro,2,Manufacturing,Agro-Processing
449,450,Central zone,Dodoma,Kongwa ,Sejeli,ELIAKIM ELISA KATO,2274,KATI A,1999.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),753290568,,Private,Micro,2,Manufacturing,Agro-Processing
450,451,Central zone,Dodoma,Kondoa ,Bereko,ELIAWONYI PHARES CHONYO,90,BEREKO,2009.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,755300820,,Private,Micro,2,Manufacturing,Agro-Processing
451,452,Central zone,Dodoma,Dodoma Mjini,Kizota,ELIENEZA DOMINIC MGONJA,3373,BAHI ROAD,1992.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
452,453,Central zone,Dodoma,Kongwa ,Lenjulu,ELIKANA DANI MSULWA,57,LENJULU,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),759601303,,Private,Micro,2,Manufacturing,Agro-Processing
453,454,Central zone,Dodoma,Dodoma Mjini,Miyuji,ELIMINA THOMAS,,MATHIAS,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",765778945,,Private,Micro,2,Manufacturing,Textile and Apparel
454,455,Central zone,Dodoma,Chamwino ,Buigiri,ELINAZA LUOGA NTAVANGU,1126,CHIKUYU A,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),758380672,,Private,Micro,2,Manufacturing,Agro-Processing
455,456,Central zone,Dodoma,Mpwapwa ,Kibakwe,ELINIA MWACHISI MSIGALLA,,MJINI JUU,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
456,457,Central zone,Dodoma,Dodoma Mjini,Hazina,ELISAMEHE ALLY KASIRA,,HAZINA,1998.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754640216,,Private,Micro,2,Manufacturing,Agro-Processing
457,458,Central zone,Dodoma,Kongwa ,Hogoro,ELISHA MUHIMBANO,43,IKULU,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
458,459,Central zone,Dodoma,Kongwa ,Hogoro,ELISHA MUHIMBANO,43,IKULU,2003.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",782649155,,Private,Micro,2,Manufacturing,Textile and Apparel
459,460,Central zone,Dodoma,Chamwino ,Buigiri,ELISIA MSANJIRA FWETESE,,MAKURU A,2009.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",715815886,,Private,Micro,2,Manufacturing,Textile and Apparel
460,461,Central zone,Dodoma,Dodoma Mjini,Viwandani,ELIWANZITA NATHANAELY,,SABASABA,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",759344060,,Private,Micro,2,Manufacturing,Textile and Apparel
461,462,Central zone,Dodoma,Chamwino ,Chilonwa,ELIYA G. MAILANGA,,AZIMIO,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
462,463,Central zone,Dodoma,Dodoma Mjini,Uhuru,ELIYA HUSENI,,MWANGAZA,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",755042443,,Private,Micro,2,Manufacturing,Textile and Apparel
463,464,Central zone,Dodoma,Chamwino ,Segala,ELIYASA KAITA,,KAWAWA,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,787979272,,Private,Micro,2,Manufacturing,Agro-Processing
464,465,Central zone,Dodoma,Kongwa ,Kongwa,ELIYAZACHARIA MWALIKO,141,MJINI MAGHARIBI B,2007.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
465,466,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ELIZA MAKOKI JOSEPH,155,MNARANI,2009.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",783271025,,Private,Micro,2,Manufacturing,Textile and Apparel
466,467,Central zone,Dodoma,Dodoma Mjini,Kizota,ELIZABERT KAZOKA KAPESA,,NKUHUNGU SALAMA,2014.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",786235336,,Private,Micro,2,Manufacturing,Textile and Apparel
467,468,Central zone,Dodoma,Dodoma Mjini,Majengo,ELIZABETH ANREA MWAJA,,SOKONI MAJENGO,2012.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",714337150,,Private,Micro,2,Manufacturing,Textile and Apparel
468,469,Central zone,Dodoma,Dodoma Mjini,Majengo,ELIZABETH IBRAHIM MSUMPI,,SOKONI MAJENGO,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",767103210,,Private,Micro,2,Manufacturing,Textile and Apparel
469,470,Central zone,Dodoma,Kongwa ,Mkoka,ELIZABETH MADEHA,147,MLOWA,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",685124772,,Private,Micro,2,Manufacturing,Textile and Apparel
470,471,Central zone,Dodoma,Dodoma Mjini,Hazina,ELIZABETH NOAH,,MLEZI,2011.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,752340864,,Private,Micro,2,Manufacturing,Agro-Processing
471,472,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,ELIZABETH STEPHANO,82,KATI MWAKIHANGA,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
472,473,Central zone,Dodoma,Kongwa ,Mlali,ELLY STEVEN MAHINBO,,VETENARY,2014.0,1610,Sawmilling and planing of wood,3110,Logs of coniferous wood,784153433,,Private,Micro,2,Manufacturing,Wood and Woods Products
473,474,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ELPHA MUSHI,,MANARANI,2006.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
474,475,Central zone,Dodoma,Chemba ,Mrijo,EMANUEA GODFREY NJAU,830,POLISI,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
475,476,Central zone,Dodoma,Kongwa ,Kongwa,EMANUEL BARNABAS KAMBWEMBWE,14,MJINI MAGHARIBI B,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
476,477,Central zone,Dodoma,Kongwa ,Zoissa,EMANUEL CHAULEMA,57,ZOISSA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),764011141,,Private,Micro,2,Manufacturing,Agro-Processing
477,478,Central zone,Dodoma,Kondoa ,Chemchem,EMANUEL ISMAIL MKINDI,,UBEMBENI,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
478,479,Central zone,Dodoma,Chamwino ,Makang'wa,EMANUEL KAUSA,,TUPA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),718546488,,Private,Micro,2,Manufacturing,Agro-Processing
479,480,Central zone,Dodoma,Mpwapwa ,Chitemo,EMANUEL MAKANJE MILLS,,KATI,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),717771570,,Private,Micro,2,Manufacturing,Agro-Processing
480,481,Central zone,Dodoma,Mpwapwa ,Gulwe,EMANUEL MDAKANJE,12,NG'AMBO,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),785425002,,Private,Micro,2,Manufacturing,Agro-Processing
481,482,Central zone,Dodoma,Mpwapwa ,Godegode,EMANUEL STANLEY CHISESA,12,KATI,2006.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),714231865,,Private,Micro,2,Manufacturing,Agro-Processing
482,483,Central zone,Dodoma,Chamwino ,Makang'wa,EMANUEL YOHANA MAMBA,,NYERERE,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
483,484,Central zone,Dodoma,Mpwapwa ,Kingiti,EMIDI PIUSMESOMAPYA,,KATI,2013.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",787798839,,Private,Micro,2,Manufacturing,Wood and Woods Products
484,485,Central zone,Dodoma,Kondoa ,Chemchem,EMMANUEL CHRISTOPHER,,IBONI,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",689456450,,Private,Micro,2,Manufacturing,Textile and Apparel
485,486,Central zone,Dodoma,Chamwino ,Mvumi Mission,EMMANUEL DONALD MWAIKUJU,23,KATI A,2011.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
486,487,Central zone,Dodoma,Mpwapwa ,Luhundwa,EMMANUEL ELENEY MAPONDA,,GHALANI 'B',2014.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
487,488,Central zone,Dodoma,Mpwapwa ,Chipogoro,EMMANUEL GERALD MLOWE,23,JAMHURI,2011.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
488,489,Central zone,Dodoma,Bahi ,Mundemu,EMMANUEL KOMBO,,MADUKANI,2002.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
489,490,Central zone,Dodoma,Dodoma Mjini,Majengo,EMMANUEL LENJIMA,,MAUSI,2014.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",712663474,,Private,Small,5,Manufacturing,Wood and Woods Products
490,491,Central zone,Dodoma,Bahi ,Msisi,EMMANUEL MAZOYA,,MABATINI,2007.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",,,Private,Micro,2,Manufacturing,Wood and Woods Products
491,492,Central zone,Dodoma,Kongwa ,Mkoka,EMMANUEL MKUCHU,147,MLOWA,2014.0,1610,Sawmilling and planing of wood,3110,Logs of coniferous wood,767507409,,Private,Small,5,Manufacturing,Wood and Woods Products
492,493,Central zone,Dodoma,Chamwino ,Mvumi Mission,EMMANUEL PETER KAUSA,23,KATI A,2011.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
493,494,Central zone,Dodoma,Chemba ,Mrijo,EMMANUEL TENGA,830,GODAUNI,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
494,495,Central zone,Dodoma,Mpwapwa ,Mima,EMMILY ELISHA MNG'UNYILA,12,MAKULU,2002.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),783399506,,Private,Micro,2,Manufacturing,Agro-Processing
495,496,Central zone,Dodoma,Dodoma Mjini,Chamwino,EMUMAL MRIMI,,NDUKA,2014.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",715542394,,Private,Micro,2,Manufacturing,Textile and Apparel
496,497,Central zone,Dodoma,Dodoma Mjini,Viwandani,ENELISE SADRU MUHONGOLE (MAMA MUHONGOLE),2596,SABASABA,2013.0,1399,Manufacture of other textiles n.e.c.,88219,Other textile manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Textile and Apparel
497,498,Central zone,Dodoma,Dodoma Mjini,Dodoma Makulu,ENOCK EWZIE CHAMKONGO,,KISASA,2007.0,2395,"Manufacture of articles of concrete, cement and plaster",37117,"Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",713330018,,Private,Micro,2,Manufacturing,Building and Construction Materials
498,499,Central zone,Dodoma,Kongwa ,Mkoka,ENTUBA JAONAS MAMA NIA,124,KAMBARAGE,2001.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",787729619,,Public,Micro,2,Manufacturing,Textile and Apparel
499,500,Central zone,Dodoma,Dodoma Mjini,Majengo,ENYIMBA CO. LTD,,DODOMA,2006.0,3600,"Water collection, treatment and supply",69210,"Water distribution through mains, except steam and hot water (on own account)",,,Private,Small,10,"Water supply, sewage, waste management and remediation activities","Water supply, sewage, waste management and remediation activities"
500,501,Central zone,Dodoma,Mpwapwa ,Kingiti,EPAFRAS DAVID LUSA,48,MUHONDO,1999.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),787958851,,Private,Micro,2,Manufacturing,Agro-Processing
501,502,Central zone,Dodoma,Dodoma Mjini,Dodoma Makulu,ERA CONSTRUCYION,1222,KISAS/SHELI,2010.0,2395,"Manufacture of articles of concrete, cement and plaster",37117,"Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",754267757,,Private,Small,10,Manufacturing,Building and Construction Materials
502,503,Central zone,Dodoma,Mpwapwa ,Ipera,ERASTO ESENEI MKWAKWA,208,AIRPORT,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
503,504,Central zone,Dodoma,Mpwapwa ,Ving'hawe,ERASTO NZIGE NZIGE,48,KAWAWA.,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),716008205,,Private,Micro,2,Manufacturing,Agro-Processing
504,505,Central zone,Dodoma,Chamwino ,Buigiri,ERENEST ELISA KATO,1126,CHIKUYU A,1992.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),755489521,,Private,Micro,2,Manufacturing,Agro-Processing
505,506,Central zone,Dodoma,Kongwa ,Mlali,ERICANA ENOCK MHOLWA,57,MIEMBENI,2009.0,1622,Manufacture of buildersÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ carpentry and joinery,38701,"Prefabricated buildings, of wood",,,Private,Micro,2,Manufacturing,Wood and Woods Products
506,507,Central zone,Dodoma,Kongwa ,Chiwe,ERINEI PENEJA MSIGALA,57,CHIWE,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754491019,,Private,Micro,2,Manufacturing,Agro-Processing
507,508,Central zone,Dodoma,Kongwa ,Kibaigwa,ERNEST (MAMA SARAH),,NYERERE A,1995.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),762207244,,Private,Micro,2,Manufacturing,Agro-Processing
508,509,Central zone,Dodoma,Dodoma Mjini,Hombolo,ERNEST CHILEWA,,BWAWANI B,1998.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",753240872,,Private,Micro,2,Manufacturing,Textile and Apparel
509,510,Central zone,Dodoma,Kongwa ,Sejeli,ERNEST ELIA MAKALI,,KATI A,1995.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754417439,,Private,Micro,2,Manufacturing,Agro-Processing
510,511,Central zone,Dodoma,Dodoma Mjini,Chang'ombe,ERNEST FICHENJE,910,HAMVU,1992.0,2599,Manufacture of other fabricated metal products n.e.c.,88739,Other fabricated metal product manufacturing services n.e.c.,757105551,,Private,Micro,2,Manufacturing,Metal and Metal Products
511,512,Central zone,Dodoma,Dodoma Mjini,Ipagala,ERNEST KATO,2274,SULUNGAI,2004.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
512,513,Central zone,Dodoma,Dodoma Mjini,Makole,ERNEST KATO MILLS,2274,AREA E,2004.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),755489521,,Private,Micro,2,Manufacturing,Agro-Processing
513,514,Central zone,Dodoma,Mpwapwa ,Kibakwe,ERNEST KINOGA MILLIS,,CHIDUMILE,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
514,515,Central zone,Dodoma,Dodoma Mjini,Chamwino,ERNEST M. ELISA,2274,CHINANGAL/MWAJA,2001.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
515,516,Central zone,Dodoma,Dodoma Mjini,Chamwino,ERNEST MUSHUMBUZI,2274,WAJENZI/CHAMWINO,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),755489521,,Private,Micro,2,Manufacturing,Agro-Processing
516,517,Central zone,Dodoma,Chamwino ,Manchali,ERNEST YOHANA MSANJILI,1048,,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",757628072,,Private,Micro,2,Manufacturing,Textile and Apparel
